;Properties;ITEM;ITEM TYPOLOGY;;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Leonine Bow of Hashir (Season 1);Bow;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Little Rogue;Sword;W;;
DMG X-Y;(1098-1316)-(1175-1490) Damage;Living Umbral Oath (Witch Doctor);Ceremonial Knife;W;;
DMG X-Y;+(981-1199)-(1175-1490) Damage;Mad Monarch's Scepter (Horadric Cache);Mace;W;;
DMG X-Y;"(1177–1439)–(1410–1788) Arcane Damage
(1177–1439)–(1410–1788) Poison Damage
(1177–1439)–(1410–1788) Lightning Damage
(1177–1439)–(1410–1788) Holy Damage
(1177–1439)–(1410–1788) Cold Damage
(1177–1439)–(1410–1788) Fire Damage
(1177–1439)–(1410–1788) Damage";Madawc's Sorrow (Barbarian);Mighty Weapon 2H;W;;
DMG X-Y;+(981-1199)-(1175-1490) Damage;Nailbiter;Mace;W;;
DMG X-Y;+(981-1199)-(1175-1490) Damage;Neanderthal;Mace;W;;
DMG X-Y;+(981-1199)-(1175-1490) Damage;Nutcracker;Mace;W;;
DMG X-Y;"(858-1049)-(1028-1304) Arcane Damage
(858-1049)-(1028-1304) Poison Damage
(858-1049)-(1028-1304) Lightning Damage
(858-1049)-(1028-1304) Holy Damage
(858-1049)-(1028-1304) Cold Damage
(858-1049)-(1028-1304) Fire Damage
(858-1049)-(1028-1304) Damage";Pig Sticker;Dagger;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Remorseless (Barbarian) (Season 1);Mighty Weapon;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Rhen'ho Flayer (Witch Doctor);Ceremonial Knife;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Sacred Harvester (Witch Doctor) (Season 1);Ceremonial Knife;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Serpent's Sparker (Wizard);Wand;W;;
DMG X-Y;+(981-1199)-(1175-1490) Damage;Sever;Sword;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Shard of Hate;Sword;W;;
DMG X-Y;"(1177–1439)–(1410–1788) Arcane Damage
(1177–1439)–(1410–1788) Poison Damage
(1177–1439)–(1410–1788) Lightning Damage
(1177–1439)–(1410–1788) Holy Damage
(1177–1439)–(1410–1788) Cold Damage
(1177–1439)–(1410–1788) Fire Damage
(1177–1439)–(1410–1788) Damage";Skorn;Axe 2H;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Sledge Fist (Monk);Fist Weapon;W;;
DMG X-Y;(1177–1439)–(1410–1788) Damage;Sledge of Athskeleng;Mace 2H;W;;
DMG X-Y;"(1177–1439)–(1410–1788) Arcane Damage
(1177–1439)–(1410–1788) Poison Damage
(1177–1439)–(1410–1788) Lightning Damage
(1177–1439)–(1410–1788) Holy Damage
(1177–1439)–(1410–1788) Cold Damage
(1177–1439)–(1410–1788) Fire Damage
(1177–1439)–(1410–1788) Damage";Staff of Kyro (Monk);Daibo;W;;
DMG X-Y;"(1177–1439)–(1410–1788) Arcane Damage
(1177–1439)–(1410–1788) Poison Damage
(1177–1439)–(1410–1788) Lightning Damage
(1177–1439)–(1410–1788) Holy Damage
(1177–1439)–(1410–1788) Cold Damage
(1177–1439)–(1410–1788) Fire Damage
(1177–1439)–(1410–1788) Damage";Stalgard's Decimator;Sword 2H;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Starmetal Kukri (Witch Doctor);Ceremonial Knife;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Swiftmount (Crusader);Flail;W;;
DMG X-Y;"(858-1049)-(1028-1304) Arcane Damage
(858-1049)-(1028-1304) Poison Damage
(858-1049)-(1028-1304) Lightning Damage
(858-1049)-(1028-1304) Holy Damage
(858-1049)-(1028-1304) Cold Damage
(858-1049)-(1028-1304) Fire Damage
(858-1049)-(1028-1304) Damage";The Barber;Dagger;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";The Butcher's Sickle;Axe;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";The Dagger of Darts (Witch Doctor);Ceremonial Knife;W;;
DMG X-Y;(1177–1439)–(1410–1788) Damage;The Executioner;Axe 2H;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";The Fist of Az'Turrasq (Monk);Fist Weapon;W;;
DMG X-Y;"(1177–1439)–(1410–1788) Arcane Damage
(1177–1439)–(1410–1788) Poison Damage
(1177–1439)–(1410–1788) Lightning Damage
(1177–1439)–(1410–1788) Holy Damage
(1177–1439)–(1410–1788) Cold Damage
(1177–1439)–(1410–1788) Fire Damage
(1177–1439)–(1410–1788) Damage";The Flow of Eternity (Monk);Daibo;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";The Gidbinn (Witch Doctor);Ceremonial Knife;W;;
DMG X-Y;(1177–1439)–(1410–1788) Damage;The Grandfather;Sword 2H;W;;
DMG X-Y;"(1177–1439)–(1410–1788) Arcane Damage
(1177–1439)–(1410–1788) Poison Damage
(1177–1439)–(1410–1788) Lightning Damage
(1177–1439)–(1410–1788) Holy Damage
(1177–1439)–(1410–1788) Cold Damage
(1177–1439)–(1410–1788) Fire Damage
(1177–1439)–(1410–1788) Damage";The Mortal Drama (Crusader);Flail 2H;W;;
DMG X-Y;(1177–1439)–(1410–1788) Damage;The Paddle (Monk);Daibo;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";The Raven's Wing;Bow;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";The Slanderer;Sword;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";The Spider Queen's Grasp (Witch Doctor);Ceremonial Knife;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";The Three Hundredth Spear;Spear;W;;
DMG X-Y;(1177–1439)–(1410–1788) Damage;The Zweihander;Sword 2H;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Vengeful Wind (Monk) (Season 1);Fist Weapon;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Wand of Woh (Wizard);Wand;W;;
DMG X-Y;(1177-1439)-(1410-1788) Damage;War of the Dead (Barbarian);Mighty Weapon 2H;W;;
DMG X-Y;(1177–1439)–(1410–1788) Damage;Warmonger;Sword 2H;W;;
DMG X-Y;"(1177–1439)–(1410–1788) Arcane Damage
(1177–1439)–(1410–1788) Poison Damage
(1177–1439)–(1410–1788) Lightning Damage
(1177–1439)–(1410–1788) Holy Damage
(1177–1439)–(1410–1788) Cold Damage
(1177–1439)–(1410–1788) Fire Damage
(1177–1439)–(1410–1788) Damage";Warstaff of General Quang (Monk);Daibo;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Windforce;Bow;W;;
DMG X-Y;"(858-1049)-(1028-1304) Arcane Damage
(858-1049)-(1028-1304) Poison Damage
(858-1049)-(1028-1304) Lightning Damage
(858-1049)-(1028-1304) Holy Damage
(858-1049)-(1028-1304) Cold Damage
(858-1049)-(1028-1304) Fire Damage
(858-1049)-(1028-1304) Damage";Wizardspike;Dagger;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Wojahnni Assaulter;Crossbow;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Odyssey's End (Season 2);Bow;W;;
DRAG;BONUS 20–25% chance to drag enemies to you when attacking;The Butcher's Sickle;Axe;W;;
ELEM DMG;"- Physical skills deal 15–20% more damage
- Lightning skills deal 15–20% more damage
- Cold skills deal 15–20% more damage
- Fire skills deal 15–20% more damage
- Arcane skills deal 15–20% more damage
- Poison skills deal 15–20% more damage
- Holy skills deal 15–20% more damage";Andariel's Visage;Helm;A;;
ELEM DMG;"- Physical skills deal 15–20% more damage
- Lightning skills deal 15–20% more damage
- Cold skills deal 15–20% more damage
- Fire skills deal 15–20% more damage
- Arcane skills deal 15–20% more damage
- Poison skills deal 15–20% more damage
- Holy skills deal 15–20% more damage";Eye of Etlich;Amulet;A;;
ELEM DMG;Holy skills deal 15–20% more damage;Holy Beacon;Amulet;A;;
ELEM DMG;"- Physical skills deal 5–10% more damage
- Lightning skills deal 5–10% more damage
- Cold skills deal 5–10% more damage
- Fire skills deal 5–10% more damage";Holy Point Shot (Demon Hunter);Quiver;A;;
ELEM DMG;"- Physical skills deal 10–15% more damage
- Lightning skills deal 10–15% more damage
- Cold skills deal 10–15% more damage
- Fire skills deal 10–15% more damage
- Arcane skills deal 10–15% more damage
- Poison skills deal 10–15% more damage
- Holy skills deal 10–15% more damage";Lidless Wall;Shield;A;;
ELEM DMG;"- Physical skills deal 15–20% more damage
- Lightning skills deal 15–20% more damage
- Cold skills deal 15–20% more damage
- Fire skills deal 15–20% more damage
- Arcane skills deal 15–20% more damage
- Poison skills deal 15–20% more damage
- Holy skills deal 15–20% more damage";Stone of Jordan;Ring;A;;
ELEM DMG;"- Physical skills deal 15–20% more damage
- Lightning skills deal 15–20% more damage
- Cold skills deal 15–20% more damage
- Fire skills deal 15–20% more damage
- Arcane skills deal 15–20% more damage
- Poison skills deal 15–20% more damage
- Holy skills deal 15–20% more damage";Gungdo Gear (Season 2);Bracers;A;;
ELEM DMG;BONUS Gain 150–200% increased damage to a single element for 4 seconds. This effect rotates through the elements available to your class in the following order: Arcane, Cold, Fire, Holy, Lightning, Physical, Poison;Convention of Elements;Ring;A;;
ELEM DMG;"- Arcane skills deal 10–15% more damage
- Lightning skills deal 10–15% more damage
- Cold skills deal 10–15% more damage
- Fire skills deal 10–15% more damage";Gesture of Orpheus (Wizard);Wand;W;;
ELITE;Increases damage against elites by 7–8%;Archfiend Arrows (Demon Hunter);Quiver;A;;
ELITE;Increases damage against elites by 5–8%;Empyrean Messenger;Spear;W;;
ELITE;BONUS Shrines and Pylons will spawn an enemy champion;Nemesis Bracers;Bracers;A;;
ELITE;Reduces damage from elites by 12-16%;Oculus Ring;Ring;A;;
ELITE;Increases damage against elites by 25–30%;Stone of Jordan;Ring;A;;
ELITE;Increases damage against elites by 15–30%;Sun Keeper;Mace;W;;
ELITE;Increases damage against elites by 9–10%;Sydyru Crust;Bow;W;;
ELITE;BONUS Increases damage against elites by 40–50%;The Furnace;Mace 2H;W;;
ELITE;Increases damage against elites by 12–15%;Unity;Ring;A;;
ELITE;Reduces damage from elites by 4.–5.%;Kotuur's Brace (Barbarian);Mighty Belt;A;;
ENV DMG %;BONUS Opening a chest grants 100–135% increased damage for 10 seconds;Harrington Waistguard;Belt;A;;
EXP;Monster kills grant 140–200 experience;Autumn's Call;Staff;W;;
EXP;Monster kills grant 140–200 experience;Cain's Insight;Helm;A;;
EXP;BONUS Picking up gold grants experience;Custerian Wristguards;Bracers;A;;
EXP;Monster kills grant 140–200 experience;Deadly Rebirth (Witch Doctor);Ceremonial Knife;W;;
EXP;Increases Bonus Experience by 45%;Hellfire Ring;Ring;A;;
EXP;Increases Bonus Experience by 20-30%;Leoric's Signet;Ring;A;;
EXP;Monster kills grant 140–200 experience;Neanderthal;Mace;W;;
EXP;Monster kills grant 140–200 experience;See No Evil (Monk);Spirit Stone;A;;
EXP;Monster kills grant 140–200 experience;Split Tusk (Witch Doctor);Voodoo Mask;A;;
EXP;Monster kills grant 140–200 experience;The Executioner;Axe 2H;W;;
EXP;Monster kills grant 140–200 experience;The Zweihander;Sword 2H;W;;
EXP;Monster kills grant 140–200 experience;Wildwood;Sword;W;;
EXP;Increases Bonus Experience by 45%;Hellfire Ring (Strenght);Ring;A;;
EXP;Increases Bonus Experience by 45%;Hellfire Ring (Dexterity);Ring;A;;
EXP;Increases Bonus Experience by 45%;Hellfire Ring (Intelligence);Ring;A;;
EXP;Increases Bonus Experience by 45%;Hellfire Ring (Vitality);Ring;A;;
EXP;Increases Bonus Experience by 35%;Hellfire Ring (Strenght);Ring;A;;
EXP;Increases Bonus Experience by 35%;Hellfire Ring (Dexterity);Ring;A;;
EXP;Increases Bonus Experience by 35%;Hellfire Ring (Intelligence);Ring;A;;
EXP;Increases Bonus Experience by 35%;Hellfire Ring (Vitality);Ring;A;;
EXPLOSIVE BOLTS;BONUS 35–65% chance to shoot explosive bolts when attacking;Demon Machine;Crossbow;W;;
EXTRA DMG;BONUS Chance on hit to charm the enemy. While charmed, the enemy takes 35% more damage;Overwhelming Desire (Horadric Cache);Amulet;A;;
EXTRA DMG;BONUS Enemies hit by knockbacks suffer 20–30% more damage for 5 seconds when they land;Strongarm Bracers;Bracers;A;;
FEAR;15–20% Chance to Fear on Hit;Echoing Fury;Mace;W;;
FEAR;BONUS Enemies occasionally flee at the sight of this staff;Maloth's Focus;Staff;W;;
FEAR;10–15% Chance to Fear on Hit;Pandemonium Loop (Horadric Cache);Ring;A;;
FEAR;1,0–5,1% Chance to Fear on Hit;Rechel's Ring of Larceny;Ring;A;;
FEAR;BONUS Fears enemies within 12 yards for 3–4 seconds;Bottomless Potion of Fear (Season 2);Legendary Potion;A;;
FIRE BALL;BONUS 25–50% chance to cast a fireball when attacking;Cinder Switch;Axe 2H;W;;
FIRE BALL;BONUS 20–40% chance to cast a fiery ball when attacking;Storm Crow (Wizard);Wizard Hat;A;;
FIRE ELEM;Fire skills deal 15–20% more damage;Balefire Caster (Demon Hunter);Hand Crossbow;W;;
FIRE ELEM;Fire skills deal 15–20% more damage;Cindercoat;Chest Armor;A;;
FIRE ELEM;Fire skills deal 15–20% more damage;Devastator;Mace;W;;
FIRE ELEM;Fire skills deal 15–20% more damage;Firebird's Eye (Wizard);Source;A;;
FIRE ELEM;Fire skills deal 15–20% more damage;Magefist;Gloves;A;;
FIRE ELEM;Fire skills deal 15–20% more damage;Maximus;Sword 2H;W;;
FIRE ELEM;Fire skills deal 15–20% more damage;The Burning Axe of Sankis;Axe;W;;
FIRE SKILLS CR;BONUS Reduces the resource cost of Fire skills by  23–30%;Cindercoat;Chest Armor;A;;
FIRE X-Y;(981-1199)-(1175-1490) Fire Damage;Atrophy (Wizard);Wand;W;;
FIRE X-Y;(858-1049)-(1028-1304) Fire Damage;Balefire Caster (Demon Hunter);Hand Crossbow;W;;
FIRE X-Y;(1177-1439)-(1410-1788) Fire Damage;Cinder Switch;Axe 2H;W;;
FIRE X-Y;(981-1199)-(1175-1490) Fire Damage;Demon Claw (Monk);Fist Weapon;W;;
FIRE X-Y;(981-1199)-(1175-1490) Fire Damage;Demon Machine;Crossbow;W;;
FIRE X-Y;(981-1199)-(1175-1490) Fire Damage;Devastator;Mace;W;;
FIRE X-Y;(981-1199)-(1175-1490) Fire Damage;Devil Tongue;Sword;W;;
FIRE X-Y;(1177-1439)-(1410-1788) Fire Damage;Fate of the Fell (Crusader);Flail 2H;W;;
FIRE X-Y;(981-1199)-(1175-1490) Fire Damage;Griswold's Perfection;Sword;W;;
FIRE X-Y;(981-1199)-(1175-1490) Fire Damage;Hellrack;Crossbow;W;;
FIRE X-Y;(1177-1439)-(1410-1788) Fire Damage;Maloth's Focus;Staff;W;;
FIRE X-Y;(1177-1439)-(1410-1788) Fire Damage;Maximus;Sword 2H;W;;
FIRE X-Y;(1177-1439)-(1410-1788) Fire Damage;Messerschmidt's Reaver;Axe 2H;W;;
FIRE X-Y;(981-1199)-(1175-1490) Fire Damage;Monster Hunter;Sword;W;;
FIRE X-Y;(1177-1439)-(1410-1788) Fire Damage;Pledge of Caldeum;Polearm;W;;
FIRE X-Y;(1177-1439)-(1410-1788) Fire Damage;Sunder;Mace 2H;W;;
FIRE X-Y;(981-1199)-(1175-1490) Fire Damage;The Burning Axe of Sankis;Axe;W;;
FIRE X-Y;(1177-1439)-(1410-1788) Fire Damage;The Furnace;Mace 2H;W;;
FIRE X-Y;(1177-1439)-(1410-1788) Fire Damage;The Grand Vizier;Staff;W;;
FIRE X-Y;(1177-1439)-(1410-1788) Fire Damage;The Smoldering Core;Staff;W;;
FOLLOWERS;BONUS Equip on Follower: Your follower cannot die;Enchanting Favor;Templar Relic;A;;
FOLLOWERS;BONUS Equip on Follower: Gain access to all skills;Hand of the Prophet;Enchantress Focus;A;;
FOLLOWERS;BONUS Equip on Follower: Reduce the cooldown of all Follower skills by 50%;Hillenbrand’s Training Sword (Season 1);Templar Relic;A;;
FOLLOWERS;BONUS Equip on Follower: Gain access to all skills;Relic of Akarat;Templar Relic;A;;
FOLLOWERS;BONUS Equip on Follower: Gain access to all skills;Ribald Etchings;Scoundrel Token;A;;
FOLLOWERS;BONUS Equip on Follower: Your follower cannot die;Skeleton Key;Scoundrel Token;A;;
FOLLOWERS;BONUS Equip on Follower: Reduce the cooldown of all Follower skills by 50%;Slipka’s Letter Opener (Season 1);Scoundrel Token;A;;
FOLLOWERS;BONUS Equip on Follower: Your follower cannot die;Smoking Thurible;Enchantress Focus;A;;
FOLLOWERS;BONUS Equip on Follower: Reduce the cooldown of all Follower skills by 50%;Vadim’s Surge (Season 1);Enchantress Focus;A;;
FREEZE;20-25% Chance to Freeze on Hit;Azurewrath;Sword;W;;
FREEZE;7,5-10% Chance to Freeze on Hit;Buriza-Do Kyanon;Crossbow;W;;
FREEZE;BONUS 20–30% chance to be surrounded by a Chilling Aura when attacking;Fjord Cutter (Barbarian);Mighty Weapon;W;;
FREEZE;7,5-10% Chance to Freeze on Hit;Fjord Cutter (Barbarian);Mighty Weapon;W;;
FREEZE;BONUS Blocking an attack has a chance to Freeze the attacker for 0.5–1.5 seconds;Freeze of Deflection;Shield;A;;
FREEZE;BONUS Your Cold damage has up to a 34–45% chance to Freeze enemies;Frostburn;Gloves;A;;
FREEZE;BONUS Attacking enemies below 17–20% Life freezes them for 3 seconds;Eun-Jang-Do;Dagger;W;;
FURY MAX;+10-12 Maximum Fury;Girdle of Giants (Barbarian);Mighty Belt;A;;
GEMS;BONUS Whenever a gem drops, a gem of the type socketed into this item also drops;Broken Crown;Helm;A;;
GEMS;"Gain 20% increased damage for 30.0 seconds after killing an elite pack.
Increases damage against elites by 15.0% (Requires Rank 25)";Bane of the Powerful;Legendary Gem;A;;
GEMS;"Increase damage against enemies under the effects of control-impairing effects by 15.00%.
Gain an aura that reduces the movement speed of enemies within 15 yards by 30%. (Requires Rank 25)";Bane of the Trapped;Legendary Gem;A;;
GEMS;"70% chance on killing an enemy to cause an explosion of gold.
Gain 30% di increased movement speed for 2 seconds after picking up gold. (Requires Rank 25)";Boon of the Hoarder;Legendary Gem;A;;
GEMS;"Increase the damage of your pets by 15.00%.
Your pets take 25% less damage. (Requires Rank 25)";Enforcer;Legendary Gem;A;;
